id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
1,Petr,Cech,1,3,1,0,0,24,585,9,0.0,205.0,0.0,3,130,20.4,1,0,0,1.1,48
2,Bernd,Leno,1,3,1,0,0,64,1845,28,0.0,508.0,0.0,3,366,50.7,3,0,0,2.5,48
3,Laurent,Koscielny,1,3,2,2,0,33,688,11,3.9,269.4,78.0,4,169,35.1,1,0,1,0.8,54
4,Héctor,Bellerín,1,3,2,0,5,60,1532,21,197.8,261.6,280.0,5,304,73.7,4,0,3,4.8,54
5,Nacho,Monreal,1,3,2,1,3,45,1050,16,118.2,262.4,167.0,4,213,54.7,2,0,2,0.9,54
6,Rob,Holding,1,3,2,0,0,24,806,10,28.7,187.8,14.0,5,148,23.2,1,0,1,0.4,43
7,Shkodran,Mustafi,1,3,2,2,0,58,1891,30,54.2,546.6,191.0,2,359,79.5,4,0,6,1.1,54
8,Sead,Kolasinac,1,3,2,0,6,62,1380,21,350.5,254.2,193.0,10,301,79.6,3,0,3,7.5,51
10,Konstantinos,Mavropanos,1,3,2,0,0,1,11,0,0.1,3.4,0.0,0,4,0.4,0,0,0,0.1,47
11,Stephan,Lichtsteiner,1,3,2,0,0,11,769,16,45.6,96.4,19.0,0,68,16.3,0,0,2,0.8,45
12,Sokratis,Papastathopoulos,1,3,2,0,2,40,1478,23,51.8,343.6,41.0,3,276,43.8,3,0,7,1.1,51
13,Mesut,Özil,1,3,3,3,2,57,1077,14,411.4,255.4,143.0,7,227,81.0,3,0,1,2.3,79
14,Aaron,Ramsey,1,3,3,2,6,65,980,13,314.0,293.0,374.0,1,212,98.3,5,0,0,0.9,71
15,Alex,Iwobi,1,3,3,3,6,73,1396,25,358.1,327.6,401.0,1,277,108.5,2,0,0,1.9,54
16,Mohamed,Elneny,1,3,3,0,0,4,152,1,16.8,38.4,51.0,0,13,10.6,0,0,0,2.3,42
