assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,3,130,100,100,1,11334,0,0,-2,2,0.0,0,0,1,-0.5,0.5,0,Petr,0.0,9,0,20.4,1,False,205.0,0,0,0,0,585,,2018-09-29T17:31:14Z,48,0,0,0,11334.jpg,3.4,0,27,Cech,1.1,False,1,a,1,3,0.0,24,82086,5,133222,17,0.0,5.0,Cech,0
0,3,366,None,None,3,80201,0,0,-2,2,0.0,0,0,1,2.9,3.9,0,Bernd,3.4,28,0,50.7,2,False,508.0,0,0,0,0,1845,,None,48,0,0,0,80201.jpg,3.0,0,67,Leno,2.5,False,19,a,1,3,0.0,64,171084,98,171724,338,0.7,13.3,Leno,0
0,4,169,100,100,1,51507,0,0,-1,1,3.9,1,0,2,1.7,2.7,0,Laurent,2.2,11,2,35.1,3,False,269.4,0,0,0,0,688,,2019-02-21T20:31:20Z,54,0,0,0,51507.jpg,3.7,0,0,Koscielny,0.8,False,6,a,1,3,78.0,33,74055,80,40000,228,0.4,6.1,Koscielny,1
5,5,304,0,0,4,98745,0,0,-1,1,197.8,0,0,2,0.0,0.0,0,Héctor,0.0,21,0,73.7,4,False,261.6,0,0,0,0,1532,Knee injury - Unknown return date,2019-01-19T20:01:19Z,54,1,0,0,98745.jpg,3.2,0,0,Bellerín,4.8,False,2,i,1,3,280.0,60,566665,2,1128108,131,0.0,11.1,Bellerín,3
3,4,213,100,100,2,38411,0,0,-1,1,118.2,1,0,2,1.1,2.1,0,Nacho,1.6,16,1,54.7,5,False,262.4,0,0,0,0,1050,,2018-12-22T14:31:17Z,54,0,0,0,38411.jpg,3.5,0,0,Monreal,0.9,False,18,a,1,3,167.0,45,228020,13,243757,125,0.3,8.3,Monreal,2
0,5,148,0,0,1,156074,0,0,-2,2,28.7,0,0,2,0.0,0.0,0,Rob,0.0,10,0,23.2,6,False,187.8,0,0,0,0,806,Anterior cruciate ligament  - Expected back 05 Jun,2018-12-05T23:01:16Z,43,0,0,0,156074.jpg,2.4,0,0,Holding,0.4,False,16,i,1,3,14.0,24,39703,1,61132,9,0.0,5.6,Holding,1
0,2,359,100,100,4,69140,0,0,-1,1,54.2,0,0,2,1.7,2.7,0,Shkodran,2.2,30,2,79.5,7,False,546.6,0,0,0,0,1891,,2019-02-03T20:31:19Z,54,0,0,0,69140.jpg,2.5,0,0,Mustafi,1.1,False,20,a,1,3,191.0,58,93707,36,127085,63,0.4,10.7,Mustafi,6
6,10,301,100,100,3,111457,0,0,1,-1,350.5,1,0,2,2.7,3.7,0,Sead,3.2,21,0,79.6,8,False,254.2,0,0,0,0,1380,,2018-12-22T12:31:16Z,51,1,0,0,111457.jpg,3.9,0,0,Kolasinac,7.5,False,31,a,1,3,193.0,62,701450,476,297132,1354,0.6,12.2,Kolasinac,3
0,0,4,100,100,0,233963,0,0,-3,3,0.1,0,0,2,-0.3,0.7,0,Konstantinos,0.2,0,0,0.4,10,False,3.4,0,0,0,0,11,,2018-09-25T09:01:13Z,47,0,0,0,233963.jpg,1.0,0,0,Mavropanos,0.1,False,27,a,1,3,0.0,1,1957,3,10232,2,0.0,0.2,Mavropanos,0
0,0,68,75,75,0,27335,0,0,-5,5,45.6,0,0,2,0.1,0.8,0,Stephan,0.6,16,0,16.3,11,False,96.4,0,0,0,0,769,Back injury - 75% chance of playing,2019-02-24T17:31:21Z,45,0,0,0,27335.jpg,0.9,0,0,Lichtsteiner,0.8,False,12,d,1,3,19.0,11,27239,4,115477,53,0.1,2.4,Lichtsteiner,2
